Partition;RecId;DefaultDimension;Seconds;TermRegStartRecID;TermRegStopRecID;Worker;WorkerPilot;AbsencePayQty;ActOprID;BreakTime;BreakTolerance;CorrStartDate;CorrStartTime;CorrStopDate;CorrStopTime;CostAbsence;CostBreak;CostFactor;CostFlexAdd;CostFlexSub;CostNormTime;CostOverTime;CostPayAdd;CostPayAddManual;ErrorCause;HourPrice;JobFinished;JobId;JobIDAbs;JobPayType;JobRef;JobRefType;JobType;JourRegType;Module;OnCallActivity;OprNum;PieceRatePayCostTypeMin;PieceRatePayMinRate;PieceRatePayRate;ProfileDate;ProjCategory;ProjEmplTransId;QtyError;QtyGood;QtyStartup;RouteJobType;SecondsOnReg;SecondsOnTrans;StampType;StampTypeSpec;StartDate;StartTime;StopDate;StopTime;SysErrorSpecification;SysQtyError;SysQtyGood;SysQtyStartup;TermStart;TermStop;TransId;Voucher;WorkflowStatus;WrkCtrId;WrkCtrIdPilot;dataAreaId;recVersion;
5.637.144.576;5.638.394.740;5.637.149.832;287;5.638.498.104;5.638.498.114;5.637.144.583;0;0,00;405;0;0;22-02-2018;07:00:00;22-02-2018;07:04:47;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;299556;;Timepris;522576;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;22-02-2018;;;;;0,00;Proces;368;287;Job;Arbejdstid;22-02-2018;06:58:39;22-02-2018;07:04:47;;0,00;0,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;2;;;1405;;dol;1;
5.637.144.576;5.638.394.935;5.637.149.832;248;5.638.497.414;5.638.497.419;5.637.145.370;0;0,00;405;0;0;22-02-2018;07:00:00;22-02-2018;07:04:08;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;299556;;Timepris;522576;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;22-02-2018;;;;;0,00;Proces;343;248;Job;Arbejdstid;22-02-2018;06:58:25;22-02-2018;07:04:08;;0,00;0,00;0,00;DOLLE-RDSH1;DOLLE-RDSH4;2;;;1405;;dol;1;
5.637.144.576;5.638.395.813;5.637.149.832;628;5.638.499.420;5.638.499.421;5.637.144.583;0;0,00;405;0;0;23-02-2018;08:08:52;23-02-2018;08:19:20;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;299556;;Timepris;522576;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;23-02-2018;;;;;0,00;Proces;628;628;Job;Arbejdstid;23-02-2018;08:08:52;23-02-2018;08:19:20;;0,00;0,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;3;;;1405;;dol;1;
5.637.144.576;5.638.395.815;5.637.149.832;4916;5.638.499.451;5.638.499.479;5.637.144.583;0;0,00;405;0;0;23-02-2018;09:21:29;23-02-2018;10:43:25;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;299556;;Timepris;522576;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;23-02-2018;;;;49,00;0,00;Proces;4.916;4.916;Job;Arbejdstid;23-02-2018;09:21:29;23-02-2018;10:43:25;;0,00;49,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;5;;;1405;;dol;1;
5.637.144.576;5.638.392.321;5.637.149.832;39;5.638.495.247;5.638.495.248;5.637.149.827;0;0,00;405;0;0;20-02-2018;16:21:09;20-02-2018;16:21:48;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302861;;Timepris;522878;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;20-02-2018;;;;;0,00;Proces;39;39;Job;Arbejdstid;20-02-2018;16:21:09;20-02-2018;16:21:48;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;4;;;1405;;dol;1;
5.637.144.576;5.638.392.322;5.637.149.832;3882;5.638.495.249;5.638.495.254;5.637.149.827;0;0,00;405;0;0;20-02-2018;16:21:48;20-02-2018;17:26:30;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302863;;Timepris;522878;Proces;Normal;Proces;Produktion;;40;;0,00;0,00;20-02-2018;;;;96,00;0,00;Proces;3.882;3.882;Job;Arbejdstid;20-02-2018;16:21:48;20-02-2018;17:26:30;;0,00;96,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;5;;;1405;;dol;1;
5.637.144.576;5.638.392.427;5.637.149.832;2977;5.638.494.978;5.638.495.006;5.637.144.583;0;0,00;405;0;0;20-02-2018;06:15:19;20-02-2018;07:04:56;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302865;;Timepris;522878;Proces;Normal;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;75,00;0,00;Proces;2.977;2.977;Job;Arbejdstid;20-02-2018;06:15:19;20-02-2018;07:04:56;;0,00;75,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;3;;;1405;;dol;1;
5.637.144.576;5.638.392.426;5.637.149.832;4547;5.638.494.970;5.638.494.977;5.637.144.583;0;0,00;405;0;0;20-02-2018;04:59:32;20-02-2018;06:15:19;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302867;;Timepris;522878;Proces;Normal;Proces;Produktion;;60;;0,00;0,00;20-02-2018;;;;96,00;0,00;Proces;4.547;4.547;Job;Arbejdstid;20-02-2018;04:59:32;20-02-2018;06:15:19;;0,00;96,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;2;;;1405;;dol;1;
5.637.144.576;5.638.392.324;5.637.149.832;1;5.638.495.261;5.638.495.265;5.637.149.827;0;0,00;405;0;0;20-02-2018;19:12:06;20-02-2018;19:12:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;302861;;Timepris;522878;Proces;Forkalkulation;Proces;Produktion;;30;;0,00;0,00;20-02-2018;;;;;0,00;Proces;5;5;Job;Arbejdstid;20-02-2018;19:12:06;20-02-2018;19:12:11;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;7;;;1405;;dol;1;
5.637.144.576;5.638.392.325;5.637.149.832;1;5.638.495.262;5.638.495.266;5.637.149.827;0;0,00;405;0;0;20-02-2018;19:12:06;20-02-2018;19:12:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;302863;;Timepris;522878;Proces;Forkalkulation;Proces;Produktion;;40;;0,00;0,00;20-02-2018;;;;;0,00;Proces;5;5;Job;Arbejdstid;20-02-2018;19:12:06;20-02-2018;19:12:11;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;7;;;1405;;dol;1;
5.637.144.576;5.638.392.326;5.637.149.832;1;5.638.495.263;5.638.495.267;5.637.149.827;0;0,00;405;0;0;20-02-2018;19:12:06;20-02-2018;19:12:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;302865;;Timepris;522878;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;;0,00;Proces;5;5;Job;Arbejdstid;20-02-2018;19:12:06;20-02-2018;19:12:11;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;7;;;1405;;dol;1;
5.637.144.576;5.638.392.327;5.637.149.832;1;5.638.495.264;5.638.495.268;5.637.149.827;0;0,00;405;0;0;20-02-2018;19:12:06;20-02-2018;19:12:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;302867;;Timepris;522878;Proces;Forkalkulation;Proces;Produktion;;60;;0,00;0,00;20-02-2018;;;;;0,00;Proces;5;5;Job;Arbejdstid;20-02-2018;19:12:06;20-02-2018;19:12:11;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;7;;;1405;;dol;1;
5.637.144.576;5.638.392.323;5.637.149.832;4836;5.638.495.255;5.638.495.260;5.637.149.827;0;0,00;405;0;0;20-02-2018;17:26:30;20-02-2018;19:12:06;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302861;;Timepris;522878;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;20-02-2018;;;;96,00;0,00;Proces;4.836;4.836;Job;Arbejdstid;20-02-2018;17:26:30;20-02-2018;19:12:06;;0,00;96,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;6;;;1405;;dol;1;
5.637.144.576;5.638.392.621;5.637.149.832;1137;5.638.495.009;5.638.495.021;5.637.145.370;0;0,00;405;0;0;20-02-2018;07:05:21;20-02-2018;07:24:18;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302865;;Timepris;522878;Proces;Normal;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;21,00;0,00;Proces;1.137;1.137;Job;Arbejdstid;20-02-2018;07:05:21;20-02-2018;07:24:18;;0,00;21,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;6;;;1405;;dol;1;
5.637.144.576;5.638.391.323;5.637.149.835;2035;5.638.495.510;5.638.495.550;5.637.144.583;0;0,00;405;0;0;19-02-2018;11:23:04;19-02-2018;11:56:59;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;303284;;Timepris;522926;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;19-02-2018;;;;;0,00;Proces;2.035;2.035;Job;Arbejdstid;19-02-2018;11:23:04;19-02-2018;11:56:59;;0,00;0,00;0,00;DOLLE-RDSH1;DOLLE-RDSH1;9;;;1405;;dol;1;
5.637.144.576;5.638.391.325;5.637.149.835;3656;5.638.495.622;5.638.495.667;5.637.144.583;0;0,00;405;0;0;19-02-2018;13:31:45;19-02-2018;14:32:41;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;303284;;Timepris;522926;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;19-02-2018;;;;70,00;0,00;Proces;3.656;3.656;Job;Arbejdstid;19-02-2018;13:31:45;19-02-2018;14:32:41;;0,00;70,00;0,00;DOLLE-RDSH1;DOLLE-RDSH1;11;;;1405;;dol;1;
5.637.144.576;5.638.392.197;5.637.152.839;1405;5.638.493.624;5.638.493.651;5.637.144.586;0;0,00;405;0;0;20-02-2018;15:21:27;20-02-2018;15:44:52;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302485;;Timepris;523196;Proces;Normal;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;;0,00;Proces;1.405;1.405;Job;Arbejdstid;20-02-2018;15:21:27;20-02-2018;15:44:52;;0,00;0,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;2;;;1404;;dol;1;
5.637.144.576;5.638.392.198;5.637.152.839;673;5.638.493.652;5.638.493.656;5.637.144.586;0;0,00;405;0;0;20-02-2018;15:44:52;20-02-2018;15:56:40;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;302485;;Timepris;523196;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;5,00;0,00;Proces;7;708;Job;Arbejdstid;20-02-2018;15:44:52;20-02-2018;15:44:59;;0,00;5,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;3;;;1404;;dol;1;
5.637.144.576;5.638.392.610;5.637.152.839;7;5.638.493.568;5.638.493.570;5.637.145.365;0;0,00;405;0;0;20-02-2018;12:55:35;20-02-2018;12:55:49;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302485;;Timepris;523196;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;;0,00;Proces;14;14;Job;Arbejdstid;20-02-2018;12:55:35;20-02-2018;12:55:49;;0,00;0,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;4;;;1404;;dol;1;
5.637.144.576;5.638.392.614;5.637.152.839;9192;5.638.493.576;5.638.493.639;5.637.145.365;0;0,00;405;0;0;20-02-2018;12:56:48;20-02-2018;15:30:00;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;302485;;Timepris;523196;Proces;Normal;Proces;Produktion;;50;;0,00;0,00;20-02-2018;;;;149,00;0,00;Proces;9.254;9.192;Job;Arbejdstid;20-02-2018;12:56:48;20-02-2018;15:31:02;;0,00;149,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;7;;;1404;;dol;1;
5.637.144.576;5.638.400.046;5.637.152.836;3436;5.638.504.697;5.638.504.699;5.637.145.376;0;0,00;405;0;0;01-03-2018;17:14:48;01-03-2018;19:27:24;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;307243;;Timepris;523278;Proces;Forkalkulation;Proces;Produktion;;40;;0,00;0,00;01-03-2018;;;3,00;45,00;0,00;Proces;78;6.456;Job;Arbejdstid;01-03-2018;17:14:48;01-03-2018;17:16:06;"1;3.0000000000;0.0000000000#";3,00;45,00;0,00;DOLLE-RDSH1;DOLLE-RDSH1;3;;;1405;;dol;1;
5.637.144.576;5.638.400.045;5.637.152.836;5923;5.638.504.676;5.638.504.696;5.637.145.376;0;0,00;405;0;0;01-03-2018;15:36:05;01-03-2018;17:14:48;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;307243;;Timepris;523278;Proces;Normal;Proces;Produktion;;40;;0,00;0,00;01-03-2018;;;;;0,00;Proces;5.923;5.923;Job;Arbejdstid;01-03-2018;15:36:05;01-03-2018;17:14:48;;0,00;0,00;0,00;DOLLE-RDSH1;DOLLE-RDSH1;2;;;1405;;dol;1;
5.637.144.576;5.638.403.185;5.637.152.836;776;5.638.505.437;5.638.505.450;5.637.145.365;0;0,00;405;0;0;05-03-2018;07:41:54;05-03-2018;08:28:47;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;303467;;Timepris;523280;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;05-03-2018;;;;;0,00;Proces;2.813;2.813;Job;Arbejdstid;05-03-2018;07:41:54;05-03-2018;08:28:47;;0,00;0,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;3;;;1404;;dol;1;
5.637.144.576;5.638.403.186;5.637.152.836;899;5.638.505.451;5.638.505.455;5.637.145.365;0;0,00;405;0;0;05-03-2018;08:28:47;05-03-2018;09:53:46;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;303467;;Timepris;523280;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;05-03-2018;;;;;0,00;Proces;94;3.899;Job;Arbejdstid;05-03-2018;08:28:47;05-03-2018;08:30:21;;0,00;0,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;4;;;1404;;dol;1;
5.637.144.576;5.638.403.190;5.637.152.836;603;5.638.505.550;5.638.505.552;5.637.145.365;0;0,00;405;0;0;05-03-2018;14:31:04;05-03-2018;15:14:38;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;303467;;Timepris;523280;Proces;Forkalkulation;Proces;Produktion;;50;;0,00;0,00;05-03-2018;;;;48,00;0,00;Proces;7;2.614;Job;Arbejdstid;05-03-2018;14:31:04;05-03-2018;14:31:11;;0,00;48,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;7;;;1404;;dol;1;
5.637.144.576;5.638.400.455;5.637.152.836;9023;5.638.504.530;5.638.504.673;5.637.145.370;0;0,00;405;0;0;01-03-2018;12:59:37;01-03-2018;15:30:00;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;303552;;Timepris;523307;Proces;Normal;Proces;Produktion;;60;;0,00;0,00;01-03-2018;;;;49,00;0,00;Proces;9.312;9.023;Job;Arbejdstid;01-03-2018;12:59:37;01-03-2018;15:34:49;;0,00;49,00;0,00;DOLLE-RDSH1;DOLLE-RDSH1;8;;;1405;;dol;1;
5.637.144.576;5.638.394.168;5.637.149.835;8755;5.638.496.959;5.638.497.026;5.637.145.370;0;0,00;405;0;0;21-02-2018;11:31:43;21-02-2018;14:22:38;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305611;;Timepris;523721;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;21-02-2018;;;;84,00;0,00;Proces;8.755;8.755;Job;Arbejdstid;21-02-2018;11:31:43;21-02-2018;14:22:38;;0,00;84,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;5;;;1405;;dol;1;
5.637.144.576;5.638.399.360;5.637.149.835;2972;5.638.503.760;5.638.503.761;5.637.145.370;0;0,00;405;0;0;28-02-2018;05:10:36;28-02-2018;06:00:08;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305624;;Timepris;523722;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;28-02-2018;;;;19,00;0,00;Proces;2.972;2.972;Job;Arbejdstid;28-02-2018;05:10:36;28-02-2018;06:00:08;;0,00;19,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;2;;;1405;;dol;1;
5.637.144.576;5.638.397.943;5.637.149.835;10308;5.638.503.679;5.638.503.753;5.637.145.376;0;0,00;405;0;0;27-02-2018;22:02:59;28-02-2018;00:54:47;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;305624;;Timepris;523722;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;27-02-2018;;;;65,00;0,00;Proces;10.308;10.308;Job;Arbejdstid;27-02-2018;22:02:59;28-02-2018;00:54:47;;0,00;65,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;8;;;1405;;dol;1;
5.637.144.576;5.638.388.499;5.637.149.835;7151;5.638.491.937;5.638.491.938;5.637.145.376;0;0,00;405;0;0;15-02-2018;23:20:00;16-02-2018;01:19:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305665;;Timepris;523726;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;15-02-2018;;;;70,00;0,00;Proces;7.014;7.151;Job;Arbejdstid;15-02-2018;23:22:17;16-02-2018;01:19:11;;0,00;70,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;11;;;1405;;dol;1;
5.637.144.576;5.638.388.524;5.637.149.835;1050;5.638.491.939;5.638.491.940;5.637.149.076;5.637.145.376;0,00;405;0;0;16-02-2018;01:01:41;16-02-2018;01:19:11;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;305665;;Timepris;523726;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;15-02-2018;;;;;0,00;Proces;1.050;1.050;Job;Arbejdstid;16-02-2018;01:01:41;16-02-2018;01:19:11;;0,00;0,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;13;;;1405;;dol;1;
5.637.144.576;5.638.399.365;5.637.149.835;6039;5.638.503.957;5.638.504.006;5.637.145.370;0;0,00;405;0;0;28-02-2018;13:27:39;28-02-2018;15:08:18;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305678;;Timepris;523727;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;28-02-2018;;;;70,00;0,00;Proces;6.039;6.039;Job;Arbejdstid;28-02-2018;13:27:39;28-02-2018;15:08:18;;0,00;70,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;7;;;1405;;dol;1;
5.637.144.576;5.638.407.738;5.637.149.835;8736;5.638.511.879;5.638.511.952;5.637.145.370;0;0,00;405;0;0;09-03-2018;07:04:02;09-03-2018;09:49:38;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305691;;Timepris;523728;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;09-03-2018;;;;70,00;0,00;Proces;8.736;8.736;Job;Arbejdstid;09-03-2018;07:04:02;09-03-2018;09:49:38;;0,00;70,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;3;;;1405;;dol;1;
5.637.144.576;5.638.395.812;5.637.149.835;4132;5.638.499.381;5.638.499.419;5.637.144.583;0;0,00;405;0;0;23-02-2018;07:00:00;23-02-2018;08:08:52;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;305704;;Timepris;523729;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;23-02-2018;;;;29,00;0,00;Proces;4.205;4.132;Job;Arbejdstid;23-02-2018;06:58:47;23-02-2018;08:08:52;;0,00;29,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;2;;;1405;;dol;1;
